,mean,std,min,max
LB,133.297,9.833,106.0,160.0
AC,2.734,3.568,0.0,26.0
FM,7.268,37.244,0.0,564.0
UC,3.679,2.845,0.0,23.0
DL,1.58,2.504,0.0,16.0
DS,0.003,0.057,0.0,1.0
DP,0.127,0.466,0.0,4.0
ASTV,46.979,17.168,12.0,87.0
MSTV,1.336,0.884,0.2,7.0
ALTV,9.76,18.27,0.0,91.0
MLTV,8.169,5.633,0.0,50.7
Width,70.566,38.991,3.0,180.0
Min,93.539,29.546,50.0,159.0
Max,164.106,17.947,122.0,238.0
Nmax,4.079,2.952,0.0,18.0
Nzeros,0.326,0.708,0.0,10.0
Mode,137.448,16.404,60.0,187.0
Mean,134.593,15.611,73.0,182.0
Median,138.083,14.48,77.0,186.0
Variance,18.916,29.043,0.0,269.0
Tendency,0.319,0.611,-1.0,1.0
