iter	MultiClass
0	1.043716477
1	0.9829760179
2	0.9286671235
3	0.8815561141
4	0.838795287
5	0.7959710257
6	0.7580763551
7	0.7222440176
8	0.691880126
9	0.6649071598
10	0.6396789321
11	0.6146893181
12	0.5914813562
13	0.5712414101
14	0.5521679317
15	0.5339480311
16	0.5167244926
17	0.5002525587
18	0.4846007745
19	0.469870248
20	0.4557179606
21	0.4426376088
22	0.4288342226
23	0.4180205098
24	0.4062531153
25	0.3951047388
26	0.3835060402
27	0.3739293059
28	0.364796669
29	0.3572831003
30	0.3479928157
31	0.3396382499
32	0.3324729911
33	0.3251194074
34	0.3188080966
35	0.3117478881
36	0.3048823494
37	0.2986982285
38	0.2926590938
39	0.2866664313
40	0.2821519806
41	0.2769950517
42	0.2718398799
43	0.2679692856
44	0.2631845507
45	0.2585162059
46	0.2541040907
47	0.249916503
48	0.2466648406
49	0.2428534072
50	0.2399041688
51	0.2358617123
52	0.2327632795
53	0.2296064214
54	0.2268357139
55	0.2239982023
56	0.2207382158
57	0.2182446008
58	0.2151921843
59	0.2120206572
60	0.2103688099
61	0.2079377569
62	0.2055274147
63	0.203252502
64	0.2009837644
65	0.1985403625
66	0.1968455215
67	0.1946427523
68	0.1924841227
69	0.1908916243
70	0.1891773672
71	0.1876229969
72	0.1854490635
73	0.1841268257
74	0.1819857947
75	0.1802354127
76	0.178981606
77	0.1772593378
78	0.1757643972
79	0.1739705771
80	0.172963616
81	0.1711347684
82	0.1696462024
83	0.1682871601
84	0.1670851661
85	0.1657585675
86	0.1643128866
87	0.1633441753
88	0.1620354302
89	0.1609064583
90	0.1596985233
91	0.1587978323
92	0.1575033902
93	0.1565258294
94	0.1549017644
95	0.1541429205
96	0.1529543721
97	0.1519775316
98	0.1511997568
99	0.1502068545
100	0.1490976931
101	0.1481207015
102	0.1471900254
103	0.1465484847
104	0.1455130249
105	0.1445230179
106	0.1436267159
107	0.1429676492
108	0.1421159324
109	0.1412557264
110	0.140837386
111	0.1401889759
112	0.1394032423
113	0.1388934774
114	0.1381526704
115	0.1376097216
116	0.1370272805
117	0.1366869962
118	0.1359170504
119	0.1353363716
120	0.1346879972
121	0.1340732247
122	0.133588945
123	0.1329124921
124	0.1324644943
125	0.131929109
126	0.131383591
127	0.1308437734
128	0.1300178413
129	0.1291559289
130	0.1285245211
131	0.1279948708
132	0.1273531976
133	0.12674372
134	0.1262807551
135	0.1255240543
136	0.1251352724
137	0.1246538038
138	0.1237156167
139	0.123401675
140	0.1227602046
141	0.1223259589
142	0.121567087
143	0.1212780447
144	0.1206241214
145	0.1200828356
146	0.1193751966
147	0.1186004735
148	0.1179628682
149	0.117457569
150	0.1170825487
151	0.1165725724
152	0.1158600447
153	0.1153652591
154	0.1151651769
155	0.1146619884
156	0.1139583995
157	0.1134862975
158	0.1130126834
159	0.1123762161
160	0.1118315949
161	0.1114913839
162	0.1111978054
163	0.1108153712
164	0.1105826897
165	0.1101868205
166	0.1098387255
167	0.1094378647
168	0.109147826
169	0.1085425736
170	0.1080796945
171	0.1078249633
172	0.1075706181
173	0.1067224143
174	0.1064057291
175	0.1059463004
176	0.1054753151
177	0.1048856433
178	0.1046045966
179	0.104175368
180	0.1039033377
181	0.1035121253
182	0.1030306169
183	0.1027220887
184	0.1022440681
185	0.101941629
186	0.1014264296
187	0.1011124715
188	0.1008356734
189	0.1005804644
190	0.1001324857
191	0.09950291259
192	0.09925750984
193	0.0990260185
194	0.09869498285
195	0.09844260433
196	0.09793896737
197	0.09762927349
198	0.09737794922
199	0.09693538044
