iter	Passed	Remaining
0	59	59427
1	61	30934
2	64	21378
3	66	16581
4	68	13688
5	71	11805
6	73	10429
7	75	9387
8	77	8568
9	80	7937
10	82	7398
11	84	6959
12	86	6585
13	89	6324
14	91	6039
15	94	5792
16	96	5586
17	98	5394
18	100	5210
19	103	5069
20	106	4944
21	108	4826
22	111	4722
23	113	4615
24	115	4509
25	117	4415
26	120	4332
27	122	4242
28	124	4161
29	126	4083
30	128	4018
31	130	3957
32	132	3896
33	135	3838
34	137	3786
35	139	3732
36	141	3685
37	143	3643
38	146	3598
39	148	3556
40	150	3515
41	152	3489
42	155	3452
43	157	3411
44	159	3380
45	161	3347
46	163	3311
47	165	3279
48	167	3247
49	169	3220
50	171	3191
51	173	3162
52	175	3136
53	177	3116
54	179	3091
55	182	3068
56	184	3045
57	186	3026
58	188	3010
59	190	2988
60	193	2971
61	195	2955
62	197	2939
63	199	2922
64	202	2905
65	203	2886
66	206	2869
67	208	2853
68	210	2838
69	212	2822
70	214	2807
71	216	2791
72	218	2779
73	221	2767
74	223	2754
75	225	2742
76	227	2732
77	230	2720
78	232	2710
79	234	2699
80	236	2687
81	238	2674
82	240	2661
83	243	2650
84	245	2637
85	247	2626
86	249	2614
87	251	2603
88	254	2601
89	257	2598
90	259	2595
91	262	2586
92	264	2578
93	266	2566
94	268	2557
95	270	2547
96	272	2537
97	274	2527
98	276	2519
99	278	2508
100	280	2500
101	282	2491
102	285	2483
103	287	2474
104	289	2467
105	291	2459
106	293	2450
107	295	2441
108	297	2433
109	299	2426
110	302	2419
111	304	2411
112	306	2404
113	308	2398
114	310	2391
115	312	2384
116	314	2377
117	317	2372
118	319	2365
119	321	2359
120	323	2352
121	325	2345
122	327	2337
123	329	2329
124	331	2323
125	334	2318
126	336	2312
127	338	2308
128	341	2303
129	343	2298
130	345	2291
131	347	2285
132	349	2280
133	351	2274
134	353	2268
135	356	2262
136	358	2260
137	360	2253
138	362	2247
139	364	2241
140	367	2236
141	369	2230
142	371	2224
143	373	2219
144	375	2213
145	377	2207
146	379	2202
147	381	2197
148	383	2192
149	386	2187
150	388	2182
151	390	2176
152	392	2174
153	394	2169
154	397	2164
155	399	2159
156	401	2155
157	403	2150
158	405	2146
159	407	2141
160	410	2136
161	412	2131
162	414	2128
163	416	2124
164	418	2119
165	420	2113
166	422	2109
167	424	2104
168	426	2099
169	428	2093
170	431	2092
171	433	2088
172	435	2083
173	438	2079
174	440	2075
175	442	2070
176	444	2068
177	446	2063
178	449	2060
179	451	2056
180	453	2050
181	455	2046
182	457	2041
183	459	2037
184	461	2034
185	463	2030
186	467	2034
187	471	2035
188	474	2035
189	477	2035
190	479	2032
191	492	2073
192	500	2093
193	505	2101
194	512	2115
195	515	2115
196	518	2114
197	521	2112
198	524	2109
199	526	2106
200	529	2103
201	531	2100
202	534	2096
203	536	2092
204	538	2090
205	541	2086
206	543	2082
207	546	2079
208	548	2077
209	551	2072
210	554	2072
211	556	2069
212	559	2066
213	561	2062
214	563	2058
215	566	2056
216	569	2053
217	571	2051
218	574	2048
219	577	2045
220	579	2043
221	581	2039
222	584	2036
223	586	2031
224	588	2027
225	590	2023
226	593	2019
227	595	2015
228	597	2010
229	599	2007
230	602	2004
231	604	2000
232	606	1996
233	609	1994
234	611	1989
235	613	1985
236	615	1982
237	617	1978
238	620	1975
239	622	1971
240	624	1967
241	626	1963
242	629	1959
243	631	1956
244	633	1952
245	635	1948
246	637	1944
247	640	1941
248	642	1937
249	644	1932
250	646	1928
251	648	1924
252	650	1921
253	652	1916
254	654	1912
255	656	1909
256	659	1905
257	661	1901
258	663	1897
259	665	1895
260	667	1890
261	669	1886
262	672	1884
263	674	1880
264	676	1876
265	678	1872
266	680	1869
267	683	1865
268	685	1861
269	687	1858
270	689	1855
271	691	1851
272	694	1848
273	696	1844
274	698	1841
275	700	1837
276	702	1833
277	704	1830
278	707	1827
279	709	1823
280	711	1819
281	713	1816
282	715	1813
283	717	1809
284	719	1806
285	722	1802
286	724	1799
287	726	1796
288	730	1796
289	732	1793
290	736	1793
291	738	1790
292	741	1788
293	744	1786
294	746	1783
295	748	1780
296	752	1780
297	754	1776
298	756	1773
299	759	1771
300	761	1767
301	763	1764
302	765	1760
303	767	1758
304	770	1754
305	772	1751
306	774	1748
307	776	1745
308	778	1741
309	780	1738
310	783	1735
311	785	1732
312	787	1729
313	789	1725
314	792	1722
315	794	1719
316	796	1715
317	798	1712
318	800	1708
319	802	1704
320	804	1701
321	806	1698
322	808	1695
323	810	1691
324	812	1688
325	815	1685
326	817	1682
327	819	1678
328	821	1675
329	823	1672
330	825	1668
331	827	1664
332	829	1662
333	831	1658
334	833	1655
335	835	1651
336	838	1650
337	840	1646
338	842	1643
339	844	1640
340	846	1636
341	849	1633
342	851	1630
343	853	1627
344	855	1624
345	857	1620
346	859	1617
347	861	1614
348	863	1611
349	865	1607
350	867	1604
351	870	1601
352	872	1598
353	874	1595
