Metric,Default,Tuned,Difference
Accuracy,0.9598108747044918,0.9645390070921985,0.00473
Precision_Weighted,0.9589133688642689,0.9639637976135521,0.00505
Recall_Weighted,0.9598108747044918,0.9645390070921985,0.00473
F1_Weighted,0.9586081317795195,0.9634830680115996,0.00487
Precision_Macro,0.9434375880529725,0.951090448013525,0.00765
Recall_Macro,0.9089565606806986,0.9157137881275812,0.00676
F1_Macro,0.9245836369588863,0.9317544804570753,0.00717
Balanced_Accuracy,0.9089565606806986,0.9157137881275812,0.00676
MCC,0.8877888120130414,0.9011833037463718,0.01339
Cohen_Kappa,0.8863334597875568,0.8997059939301972,0.01337
ROC_AUC,0.9892566927694959,0.9899421808900052,0.00069
Log_Loss,0.17727188455487,0.24848529947058018,0.07121
